"Flush Cache is completed.","Flush Cache is completed."
"A total of %1 record(s) Indexing is completed.","A total of %1 record(s) Indexing is completed."
"Quick Index","Quick Index"
Configuration,Configuration
"Index Management","Index Management"
"Flush Magento Cache","Flush Magento Cache"
